;;;;;;;;;;;;;;;
DATOS INCIDENTES;;;;;;;;;;Archivo Ocupación de Pista (Sábana);;;;;
Código del incidente;Tipo de incidente;Descripción;Tramo;Calzada;Ubicación;Informado Por;Observaciones;Fecha hora creación;Fecha de finalización;ubicacion;pk_desde;pk_hasta;sector;fechahora_creacion_incidente;Fechahora_fin_ultimo_control_tto
27836;TR - 01;TRABAJOS, TRABAJOS DE MANTENCIÓN Y CONSERVACIÓN;1;O-P;Pista/Calzada;Telefòno de Emergencia;PULIDO Y PINTADO DE PASARELAS SECTOR LOS TILOS ;31/07/2025 08:53:00;31/07/2025 19:40:29;Pasarela;-5,929;-5,929;Las Torres (Maipú / Cerrillos) ;31-07-2025 08:53;
27837;ON - 01;"OPERACIÓN NORMAL, OPERACIÓN NORMAL	PATRULLAJE";3;O-P;Pista/Calzada;Telefòno de Emergencia;ST DESDE BASE INDUSTRIA PATRULLAJE AVS;31/07/2025 09:03:00;31/07/2025 13:02:52;Vía Expresa;0,7;0,7;Las Industrias ;31-07-2025 09:03;
27842;TR - 04;TRABAJOS, TRABAJOS DEL ÁREA DE PÓRTICOS DE COBRO;3;O-P;Pista/Calzada;Otros;Mantención preventivas PDC 3.1 y 3.2;31/07/2025 10:06:00;31/07/2025 17:58:51;Vía Local;3,1;3,1;La Granja / Cerro Negro ;31-07-2025 10:06;
27844;TR - 01;TRABAJOS, TRABAJOS DE MANTENCIÓN Y CONSERVACIÓN;5;O-P;Pista/Calzada;Telefòno de Emergencia;MANTENCIÓN DE ILUMINARIAS EN P.P. MAR TIRRENO Y UNO ORIENTE VLI ;31/07/2025 10:38:00;31/07/2025 18:07:29;Pasarela;14;11,8;Los Presidentes ;31-07-2025 10:38;
27846;ON - 01;"OPERACIÓN NORMAL, OPERACIÓN NORMAL	PATRULLAJE";5;P-O;Pista/Calzada;Telefòno de Emergencia;"MÓVIL 3 DESDE BASE INDUSTRIA AL CORPORATIVO
TERMINO 12.55 HRS";31/07/2025 11:19:00;31/07/2025 13:41:49;Vía Expresa;11,8;11,8;Las Torres (Peñalolen / Macul) ;31-07-2025 11:19;
27847;B - 02;BLOQUEO DE PISTA, VEHÍCULO DETENIDO;3;P-O;Pista/Calzada;Patrullaje;"Se visualiza por cámara  3.6  vehículo detenido en pista  acceso    por panne mecánica

Móvil    7 traslada hasta : Shell PAC
Hora de traslado:  11.36

*ST LO ENCUENTRA EN PATRULLAJE  *
";31/07/2025 11:25:00;31/07/2025 12:01:40;Entrada;2,372;2,372;Acceso San Carlos (08) ;31-07-2025 11:25;31-07-2025 11:38
27848;TR - 01;TRABAJOS, TRABAJOS DE MANTENCIÓN Y CONSERVACIÓN;1;O-P;Pista/Calzada;Telefòno de Emergencia;MANTENCION DE AREAS VERDES MATEO DE TORO Y ZAMBRANO ;31/07/2025 11:25:00;31/07/2025 17:14:58;Pasarela;-7;-7;Segunda Transversal ;31-07-2025 11:25;
27850;TR - 01;TRABAJOS, TRABAJOS DE MANTENCIÓN Y CONSERVACIÓN;;P-O;Pista/Calzada;Telefòno de Emergencia;LIMPIEZA DE SUMIDEROS DESDE GRAN AVENIDA AL ORIENTE ;31/07/2025 11:45:00;31/07/2025 19:40:35;Vía Local;1,7;14,9;Gran Avenida ;31-07-2025 11:45;
27851;TR - 01;TRABAJOS, TRABAJOS DE MANTENCIÓN Y CONSERVACIÓN;1;P-O;Pista/Calzada;Telefòno de Emergencia;MANTENCIÓN DE ÁREA VERDE SECTOR P.P LOS COPIHUES ;31/07/2025 11:50:00;31/07/2025 19:41:09;Pasarela;-5,54;-5,54;Acceso Los Tilos (03) ;31-07-2025 11:50;
27852;TR - 01;TRABAJOS, TRABAJOS DE MANTENCIÓN Y CONSERVACIÓN;;P-O;Pista/Calzada;Telefòno de Emergencia;LAVADO DE PLAZAS DE PASARELAS SECTOR PLAZA OESTE AL ORIENTE ;31/07/2025 11:55:00;31/07/2025 19:40:45;Pasarela;-4;14,9;Camino Lonquen ;31-07-2025 11:55;
